,category,question,answers,good_answer
0,Música,¿Qué grupo toca 'Enter Sandman'?,"['Aerosmith', 'Metallica', 'Guns and Roses', 'Megadeth']",
0,Música,¿A qué se dedica Zubin Mehta?,"['Dirección orquestal', 'Sacerdocio', 'Política', 'Física Nuclear']",
0,Arte y Literatura,¿Qué es la sístole? Una figura literaria que ...,"['atribuye cualidades humanas a objetos', 'cambia el acento para acortar la sílaba', 'repite intencionadamente un fonema dentro de la frase', 'confunde intencionadamente al lector para llamar su atención']",
0,Miscelánea,¿Qué tipo de ropa fabrica principalmente la marca Kappa?,"['Zapatos y cinturones', 'Trajes de caballero', 'Cazadoras y bolsos', 'Deportiva']",Deportiva
0,Arte y Literatura,¿De dónde era originario Marc Chagall?,"['Alemania', 'Rumanía', 'Rusia', 'Francia']",Rusia
0,Deporte,¿En qué posición juega el baloncestista Ricky Rubio?,"['Ala-pivot', 'Base', 'Pivot', 'Escolta']",Base
0,Cine y Televisión,¿Qué actriz fue la protagonista de 'Million dollar baby'?,"['Anabel Alonso', 'Helen Hunt', 'Hilary Swank', 'Carmen Maura']",Hilary Swank
0,Música,¿Quién canta la canción Please Please Me?,"['The Who', 'AC/DC', 'Rolling Stones', 'The Beatles']",The Beatles
0,Deporte,¿En qué deporte destacó Magic Johnson?,"['Fútbol', 'Golf', 'Baloncesto', 'Balonmano']",Baloncesto
0,Miscelánea,¿Qué es la actividad cinegética?,"['Gastronomía', 'Caza', 'Pesca', 'Equitación']",Caza
0,Geografía,¿En qué cordillera española se encuentran los Picos de Urbión?,"['Sistema Ibérico', 'Pirineos', 'Cordillera Cantábrica', 'Sistema Central']",Sistema Ibérico
0,Historia,¿En qué fecha se promulgó la constitución Mexicana?,"['30 de Enero de 1923', '5 de Febrero de 1917', '10 de Agosto de 1933', '29 de Julio de 1909']",5 de Febrero de 1917
0,Ciencia y Naturaleza,¿Cual es la unidad fundamental de Masa según el Sistema Internacional de Unidades?,"['Amperio', 'Gramo', 'Kilogramo', 'Yarda']",Kilogramo
0,Música,¿De que disco de Madonna es la canción Express Yourself?,"['You Can Dance', 'Like a Virgin', 'Like a Prayer', 'True Blue']",Like a Prayer
0,Música,¿En qué año publicaron The Beatles Revolver?,"['1971', '1966', '1972', '1962']",1966
0,Arte y Literatura,¿Con qué otro nombre se conoce a la Acrópolis de Atenas (Grecia)?,"['El templo de los helenos', 'La ciudad elevada, por su etimología.', 'La ciudad de la Hélade', 'Cecropia, en honor al primer rey de Atenas: Cécrope']","Cecropia, en honor al primer rey de Atenas: Cécrope"
0,Música,¿A qué álbum pertenece la canción Rehab de la cantante Amy Whinehouse?,"['Pumps', 'Frank', 'Black to Black', 'Take the Box']",Black to Black
0,Cine y Televisión,¿Quien formó pareja con Vivien Leigh en Lo que el viento se llevó?,"['Henry Fonda', 'Clark Gable', 'Russell Simpson', 'John Carradine']",Clark Gable
0,Deporte,¿Cuántas Copas de Europa ha ganado el Real Madrid hasta 2011?,"['11', '13', '9', '12']",9
0,Historia,¿Cómo murió Mahatma Gandhi?,"['Finalizó sus días anciano, víctima de una enfermedad', 'En el frente en la Guerra de India-Pakistán', 'Fue asesinado por un integrista indio', 'En una huelga de hambre en protesta por la violación de los Derechos Humanos en la India']",Fue asesinado por un integrista indio
